,product,price
0,"Apple iPhone 11 with FaceTime MHDM3J/A - 128GB, 4GB RAM, 4G LTE, Purple, Single SIM & E-SIM","12,349.00"
1,Nokia 110 (2019) - 1.77 Inch Screen 2G Zakra 4MB RAM Black,408.00
2,"Nokia C1, Dual Sim, 5.45 Inch, 16 GB, 1 GB RAM, 3G - Charcoal",932.00
3,iTel it2160 - 1.77-inch Dual SIM Mobile Phone - Black,173.00
4,"Samsung Galaxy A02 Dual Sim Mobile, 6.5 Inches, 32 GB, 3 GB RAM, 4G LTE - Black","1,717.00"
5,"Realme C15 Dual SIM - 64GB, 4GB RAM, 4G LTE - Marine Blue","2,500.00"
6,"Apple Iphone X With Facetime - 64 GB, 4G LTE, Space Grey, 3 GB Ram, Single Sim","9,200.00 EGP"
7,"Xiaomi Redmi Note 10 Pro Dual SIM Mobile - 6.67 Inches, 6G RAM, 128 GB, 4G LTE - Glacier Blue","4,888.00"
8,"Huawei Y5p Dual SIM - 32GB, 2GB RAM, 4G LTE - Phantom Blue","1,750.00"
9,"Samsung Galaxy A12 Dual SIM Mobile - 6.5 Inch, 128 GB, 4 GB RAM, 4G LTE - Black","2,950.00"
10,iTel it2160 - 1.77-inch Dual SIM Mobile Phone - Dark Blue,167.00
11,"Infinix Smart 5 Dual SIM Mobile - 6.6 inch, 64 GB, 3 GB RAM, 4G - Quetzal Cyan","1,777.00"
12,"Samsung Galaxy A21s SM-A217FZKGEGY Dual SIM Mobile - 6.5 Inch, 64 GB, 4 GB RAM, 4G LTE - Black","2,777.00"
13,"Samsung Galaxy A12 Dual SIM Mobile - 6.5 Inch, 128 GB, 4 GB RAM, 4G LTE - Blue","2,798.00"
14,Alcatel 2053D Dual Sim Black,429.00
15,"Xiaomi Redmi 9T Dual SIM Mobile - 6.53 Inch, 64 GB, 4 GB RAM, 4G LTE - Twilight Blue","2,665.00"
16,"Redmi Note 10S Dual SIM - 6.43 Inches, 128 GB, 6 GB RAM, 4G LTE - Ocean Blue with Xiaomi Mi True Wireless EaRBuds Basic 2 - Black","4,999.00"
17,"Samsung Galaxy A12 Dual SIM Mobile - 6.5 Inch, 64 GB, 4 GB RAM, 4G LTE - Blue","2,725.00"
18,"Apple Iphone 6S Plus With Facetime - 32 GB, 4G LTE, Gold, 2 GB Ram","4,990.00"
19,"Xiaomi Redmi 9 Dual SIM Mobile - 6.53 Inch, 64 GB, 4 GB RAM, 4G LTE - Carbon Grey","3,989.00"
